4558,Flow,FLOW,0.7487783,50,7.851406,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png
2011,Tezos,XTZ,0.83107805,51,5.2555857,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png
4066,Chiliz,CHZ,0.11322187,52,4.4178133,https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png
6783,Axie Infinity,AXS,7.34296,53,7.7005167,https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png
1966,Decentraland,MANA,0.3961829,54,14.2317095,https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png
1437,Zcash,ZEC,43.696938,56,5.466037,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png
1274,Waves,WAVES,13.055113,57,-5.8365917,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png
3513,Fantom,FTM,0.24373545,57,7.123155,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png
2087,KuCoin Token,KCS,6.8571906,58,1.8360704,https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png
6719,The Graph,GRT,0.06990067,60,9.81953,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png
1518,Maker,MKR,607.67255,63,9.930767,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png
7186,PancakeSwap,CAKE,3.4553742,64,4.7565026,https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png
131,Dash,DASH,49.087917,65,5.0443616,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png
1720,IOTA,MIOTA,0.18566056,67,4.013845,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png
4256,Klaytn,KLAY,0.166603,68,4.828734,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png
1376,Neo,NEO,6.8376136,70,4.283875,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png
10791,eCash,XEC,2.49193E-05,71,4.458194,https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png
4157,THORChain,RUNE,1.4496282,72,6.2775335,https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png
5034,Kusama,KSM,114.559875,74,-6.156758,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png
2694,Nexo,NEXO,0.73155266,76,1.806602,https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png
7080,Gala,GALA,0.13319506,77,-4.2482405,https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png
7653,Oasis Network,ROSE,0.35106677,77,4.9780116,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png
8646,Mina,MINA,0.46895975,77,5.5927114,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png
3945,Harmony,ONE,0.073204055,80,-3.9074256,https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png
10603,Immutable X,IMX,0.46495882,81,10.985638,https://s2.coinmarketcap.com/static/img/coins/64x64/10603.png
6538,Curve DAO Token,CRV,0.63807356,84,16.066324,https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png
6945,Amp,AMP,0.017980903,85,-0.5258526,https://s2.coinmarketcap.com/static/img/coins/64x64/6945.png
2634,XDC Network,XDC,0.026414648,86,0.7007656,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png
4847,Stacks,STX,0.22939903,88,5.112749,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png
1698,Horizen,ZEN,115.5304,89,5.4698734,https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png
1817,Voyager Token,VGX,3.6728597,91,-5.583951,https://s2.coinmarketcap.com/static/img/coins/64x64/1817.png
1934,Loopring,LRC,0.21835178,91,7.115638,https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png
5604,Secret,SCRT,5.6293507,92,9.880027,https://s2.coinmarketcap.com/static/img/coins/64x64/5604.png
1697,Basic Attention Token,BAT,0.19339263,92,7.293224,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png
1684,Qtum,QTUM,10.109995,92,-7.665037,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png
2130,Enjin Coin,ENJ,0.28265914,93,9.124395,https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png
3822,Theta Fuel,TFUEL,0.113215216,93,-6.3916078,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png
1168,Decred,DCR,18.913744,94,1.8422964,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png
5632,Arweave,AR,9.029698,94,-3.8565161,https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png
2099,ICON,ICX,0.6463339,94,3.7926297,https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png
873,NEM,XEM,0.030399928,95,4.4479165,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png
5864,yearn.finance,YFI,15869.073,95,-5.838035,https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png
2777,IoTeX,IOTX,0.08000661,95,7.1973467,https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png
2682,Holo,HOT,0.001541687,96,4.051833,https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png
2577,Ravencoin,RVN,0.0724518,96,8.671181,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png
5647,Kadena,KDA,3.2129009,97,-8.862985,https://s2.coinmarketcap.com/static/img/coins/64x64/5647.png
5665,Helium,HNT,1.9477808,97,5.9899726,https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png
7455,Audius,AUDIO,0.76660854,99,-2.281154,https://s2.coinmarketcap.com/static/img/coins/64x64/7455.png
5692,Compound,COMP,35.76943,99,5.4280763,https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png
1808,OMG Network,OMG,4.981994,99,7.028831,https://s2.coinmarketcap.com/static/img/coins/64x64/1808.png
2300,WAX,WAXP,0.36203685,100,7.314112,https://s2.coinmarketcap.com/static/img/coins/64x64/2300.png
5567,Celo,CELO,0.53086203,100,5.035098,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png
